id,datetime,username,tweets,edited,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1321827196332253186,2020-10-29 14:52:16+00:00,Belagavi_infra,"This is not mini Waterfalls... Drainage overflow...Shame on Smart City and Belagavi City corporation.

@Karnataka_DIPR @iamabhaypatil @BenakeAnil https://t.co/DT1ZUOtDlM https://t.co/Eo51XHEnKF",mini waterfall drainage overflow shame smart city belagavi city corporation karnataka_dipr iamabhaypatil benakeanil,-0.1027,Negative,0,0,1,1,0,1,0,0
1313077980185452544,2020-10-05 11:26:00+00:00,EddieRakabe,"The funfair around the new Mooikloof City (Estate) is startling given the track record on past announcements of new city developments:

Waterfall city
Modderfontein mega city
Lanseria smart city &amp; 
'Steyn City' 

A city is an economic engine not a shopping zone, Hle Bathong.",funfair new mooikloof city estate startle give track record past announcement new city development waterfall city modderfontein mega city lanseria smart city amp city city economic engine shopping zone hle bathong,0.1027,Positive,0,2,0,0,0,0,0,0
1282044693862326278,2020-07-11 20:10:48+00:00,Wandi_Star,@Kokie_e @AfricaFactsZone @MYANC @CyrilRamaphosa Lanseria smart city is underway and so is the one in Durban. There are plans to turn Waterfall in Midrand into a smart city too.,kokie_e africafactszone myanc cyrilramaphosa lanseria smart city underway one durban plan turn waterfall midrand smart city,0.6597,Positive,0,1,0,0,0,0,0,0
1277610733019119617,2020-06-29 14:31:50+00:00,flyvenkat,"@WeAreBangalore When the smart-city discussion comes up next time, please flash this pic. in front of them.

Sometime back, there was a pic. of Nayandahalli Waterfall!",wearebangalore discussion come next time please flash pic front sometime back pic nayandahalli waterfall,0.3182,Positive,0,1,0,0,0,0,0,0
1272940080160620544,2020-06-16 17:12:19+00:00,andreas_sieren,"On the way to Waterfall City, Africa's first Smart City. Was about six degrees in the afternoon, with some rain - You get very few days like this here. And, it's Youth Day today, commemorating the Soweto Uprising of… https://t.co/c77iXpAUXG",way waterfall city africa first smart city degree afternoon rain get day youth day today commemorate soweto uprising of…,0.4019,Positive,1,1,0,1,1,0,1,0
1259910732184907776,2020-05-11 18:18:21+00:00,Tripodisha,List of waterfalls located in the state of Odisha. you can watch many waterfalls videos in our YouTube channel.#trip2odisha @ Bhubaneswar - Smart City https://t.co/BphqLhOagG,list waterfall locate state odisha watch many waterfall videos youtube channel. trip2odisha bhubaneswar smart city,0.4019,Positive,0,1,0,1,0,0,0,0
1192364306152640514,2019-11-07 08:52:58+00:00,DharaniDevelop2,"Experience the peacefulness by living in beautiful nature
book your spot now!
40kms only from NAD junction very near to the smart city nearby Raiwada reservoir, Devarapalli Waterfalls, Cambridge school.
https://t.co/zYJNjcFofz
Contact: 0891- 2747666
#realestate #vizag #visakha https://t.co/QEnRXIiK4o",experience peacefulness live beautiful nature book spot nad junction smart city nearby raiwada reservoir devarapalli waterfall cambridge school contact realestate vizag visakha,0.8658,Positive,0,0,0,0,0,0,0,1
1171324607955124225,2019-09-10 07:28:43+00:00,MTNBusinessZA,"Jarred Cowley, MD of TD Global, talks about the digital elements of building a smart city. TD Global has been involved in the Waterfall City project. #IoTAwards https://t.co/dKAR13TjbM",jarred cowley md td global talk digital element build smart city td global involve waterfall city project iotawards,0.4019,Positive,0,0,0,0,0,0,0,1
1122415647315484673,2019-04-28 08:21:58+00:00,Collector_WGLU,"Trail run of Facade lighting at 4 entrance gates of Fort wgl,Kush mahal, Kalatoranams in smart city work. Also Jain site facade lighting and waterfalls in progress opp padmakshi gutta.1.1 km Bhadrakali bund to be ready next month @arvindkumar_ias @KTRTRS @MC_GWMC https://t.co/7OvVYznPaY",trail run facade light entrance gate fort wgl kush mahal kalatoranams smart city work also jain site facade lighting waterfall progress opp padmakshi gutta.1.1 km bhadrakali bund ready next month arvindkumar_ias ktrtrs mc_gwmc,0.7906,Positive,0,1,0,0,1,0,0,2
1114809436655181825,2019-04-07 08:37:36+00:00,colorsoftirupa1,"Kapitheertham waterfalls 😍
- Throwback 2017
Welcome to @colorsoftirupa1
Pic credits :charan.kanchi Kanchi#coloursoftirupati #COT #tirumala # tirupati #ttd # hills #tirupati_smart_city… https://t.co/V0m3T5ujEB",kapitheertham waterfalls throwback welcome colorsoftirupa1 pic credit charan.kanchi kanchi coloursoftirupati cot tirumala tirupati ttd hill tirupati_smart_city…,0.6808,Positive,0,0,0,0,0,0,0,1
