id,datetime,username,tweets,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
552225555387408385,2015-01-05 22:10:06+00:00,LarryVNN,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' | Global development | The Guardian http://t.co/oKNsTEMZMS""",0.0,Neutral,1,1,1,0,0,1,0,1
552215200225427456,2015-01-05 21:28:58+00:00,mikeehst,"""Good (better to focus on growing the tech companies)--&gt;Kenya's tech entrepreneurs shun Konza 'silicon savannah' http://t.co/hdWf4g03h2""",0.5574,Positive,1,2,1,0,2,1,1,2
552161339414953984,2015-01-05 17:54:56+00:00,willaxtell,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' | Global development | The Guardian http://t.co/Yjiw7qKY3a""",0.0,Neutral,1,1,1,0,0,1,0,1
552157534870454273,2015-01-05 17:39:49+00:00,BillyBoen,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' | Global development | The Guardian http://t.co/nLwPbajjin via #gnewsApp""",0.0,Neutral,1,1,1,0,0,1,0,1
552134708298256384,2015-01-05 16:09:07+00:00,sc0tt_ty,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' - An artist’s impression of Konza Techno City, which will... http://t.co/LiwfeyVfHy""",0.2263,Positive,1,0,1,0,0,1,0,0
552122401761157120,2015-01-05 15:20:13+00:00,JT_Startups,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/ov3oObcmu5""",0.0,Neutral,1,0,1,0,0,1,0,0
552121209630908416,2015-01-05 15:15:28+00:00,NetSpeedTech,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and...  http://t.co/N3GtGBnDlE""",0.0,Neutral,1,0,1,0,0,1,0,0
552121122221617152,2015-01-05 15:15:08+00:00,kenya_travels,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' - The Guardian http://t.co/QpVzigZEDD""",0.0,Neutral,1,0,1,0,0,1,0,1
552120959834935297,2015-01-05 15:14:29+00:00,syedzafar5,"""#Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in… http://t.co/p7OfSHyARh""",0.0,Neutral,1,0,1,0,0,1,0,0
552118887647817728,2015-01-05 15:06:15+00:00,latikia,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' by Mark Anderson via Network Front | The Guardian http://t.co/tkTINh0sxq""",0.0,Neutral,1,1,1,0,0,1,0,1
552117931430400000,2015-01-05 15:02:27+00:00,DirectNetworks,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' - With a booming tech sector in Nairobi, investors and en... http://t.co/4X4cYAowZW""",0.0,Neutral,1,0,1,0,0,1,0,0
552117854321913856,2015-01-05 15:02:08+00:00,fanzkruger,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/oDoQQew4WU""",0.0,Neutral,1,0,1,0,0,1,0,0
552117804984320000,2015-01-05 15:01:57+00:00,demosco4real,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/c7v09Yu56a""",0.0,Neutral,1,0,1,0,0,1,0,0
552117742615019521,2015-01-05 15:01:42+00:00,AdorableProduct,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/jgT9w3wQ67""",0.0,Neutral,1,0,1,0,0,1,0,0
552117168108621825,2015-01-05 14:59:25+00:00,MosartOnline,"""RT Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors ... http://t.co/2YjY2aeezx""",0.0,Neutral,1,0,1,0,0,1,0,0
552117148835778560,2015-01-05 14:59:20+00:00,bally_technews,"""#technologynews Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sec... http://t.co/XZorjm4klJ #ballychohan""",0.0,Neutral,1,0,1,0,0,1,0,0
552117143165075457,2015-01-05 14:59:19+00:00,biznessspot,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/PDs76ljLhS""",0.0,Neutral,1,0,1,0,0,1,0,0
552116951221145600,2015-01-05 14:58:33+00:00,iippam,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/PXyvKRo9fg""",0.0,Neutral,1,0,1,0,0,1,0,0
552116648228823040,2015-01-05 14:57:21+00:00,BladeArkwright,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/jVpNazeTMg""",0.0,Neutral,1,0,1,0,0,1,0,0
552116597435809792,2015-01-05 14:57:09+00:00,asapwaley,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/m80RkFhz5S""",0.0,Neutral,1,0,1,0,0,1,0,0
552116566381559809,2015-01-05 14:57:01+00:00,GroundWatchNews,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' http://t.co/usnRNTJe6t Latest World news | The Guardian""",0.0,Neutral,1,0,1,0,0,1,0,1
552115497719058433,2015-01-05 14:52:47+00:00,DJLNR,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' http://t.co/mu6IvS24Vm Network Front | The Guardian

With a booming tech secto...""",0.0,Neutral,1,1,1,0,0,1,0,1
552115307242737664,2015-01-05 14:52:01+00:00,syedzafar5,"""#Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in… http://t.co/Difo5lZSP2""",0.0,Neutral,1,0,1,0,0,1,0,0
552114818082029568,2015-01-05 14:50:05+00:00,BreakingNews_nl,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi,… http://t.co/nB1pvsyliu #guardian""",0.0,Neutral,1,0,1,0,0,1,0,1
552114423603924993,2015-01-05 14:48:31+00:00,RitonKhan,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' - The Guardian http://t.co/dcqTrgJQru""",0.0,Neutral,1,0,1,0,0,1,0,1
552112740261560322,2015-01-05 14:41:49+00:00,Tukang_Update,"""#News: Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, in... http://t.co/zETkVDZnC7 #TU""",0.0,Neutral,1,0,1,0,0,1,0,0
552112615854333952,2015-01-05 14:41:20+00:00,oolufolabii,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/A3FXrIABR5""",0.0,Neutral,1,0,1,0,0,1,0,0
552112604143824898,2015-01-05 14:41:17+00:00,ESQUIRE_LGD,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/3HJnY5mAyy""",0.0,Neutral,1,0,1,0,0,1,0,0
552109907852267521,2015-01-05 14:30:34+00:00,vividspirit,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/4eNclKhzpM""",0.0,Neutral,1,0,1,0,0,1,0,0
552109732828553216,2015-01-05 14:29:52+00:00,future_db,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah' http://t.co/8uneq1Co5n | The Guardian""",0.0,Neutral,1,0,1,0,0,1,0,1
552108759049191424,2015-01-05 14:26:00+00:00,News_Kenya,"""Kenya's tech entrepreneurs shun Konza 'silicon savannah': With a booming tech sector in Nairobi, investors and... http://t.co/tXZWI8BkUg""",0.0,Neutral,1,0,1,0,0,1,0,0
527067580662444032,2014-10-28 12:01:18+00:00,SmileandMobile,"""New #africa #tech post: Kenya: The Konza Technopolis Development Authority Seeks to Recruit New Chief http://t.co/SbvdYVVDFu #startups""",0.0772,Positive,0,2,0,0,0,0,0,1
523230894384246784,2014-10-17 21:55:41+00:00,builtworlds,"""AFRICAN TECHNOPOLIS? A tech hub is emerging in the Nairobi suburb of Konza, a key part of Kenya's 'Vision 2030' plan. http://t.co/d7AkxIDJLg""",0.25,Positive,0,2,0,0,0,0,0,0
507742888370130944,2014-09-05 04:11:52+00:00,kachwanya,"""Is Kenya declining as a tech hub? Well, it depends on how you look at it..for sure the death of Konza city should not be part of the reasons""",-0.128,Negative,1,2,1,1,0,1,1,1
490155930890162176,2014-07-18 15:27:35+00:00,GOKenyaDaily,"""KENYA PLANS TO BE AFRICA'S IT HUB WITH THE ESTABLISHMENT OF THE KONZA TECH CITY -... http://t.co/ozUKkVceGO http://t.co/MOcYSvMb2u #kenya""",0.0,Neutral,0,1,0,0,0,0,0,1
490129909512036352,2014-07-18 13:44:11+00:00,Dayoshola,"""KENYA PLANS TO BE AFRICA'S IT HUB WITH THE ESTABLISHMENT OF THE KONZA TECH CITY - EL REPORTS: http://t.co/8JRiXP2wQJ via @YouTube""",0.0,Neutral,0,1,0,0,0,0,0,1
489431678511628288,2014-07-16 15:29:40+00:00,AfricaVCF,"""Billion dollar tech cities Hope (Ghana) and Konza (Kenya): Boon or bane to Africa’s tech movement? http://t.co/uE7AmeDBfP""",0.4404,Positive,1,1,1,1,1,0,1,1
